,M,R,p_c,a
0,0.3379885553557065,12.889804419907955,0.1,-0.4
1,0.34393324114395873,12.840270577385516,0.10255463267940484,-0.4
2,0.34996608279470204,12.792720736510535,0.10517452684007653,-0.4
3,0.35608782250994325,12.747087206142591,0.10786134967314252,-0.4
4,0.3622847195712317,12.703496285813925,0.11061681096033973,-0.4
5,0.3685710355383205,12.661678550651768,0.11344266416204808,-0.4
6,0.3749356064870558,12.62161315946764,0.11634070753311924,-0.4
7,0.38139433217897534,12.583119698459024,0.11931278526721112,-0.4
8,0.38791673294660334,12.546448572553556,0.12236078867035542,-0.4
9,0.3945555645421957,12.511064823831992,0.1254866573645058,-0.4
10,0.40129382858048845,12.477087835267405,0.12869238052183227,-0.4
11,0.4081332785390399,12.444516182578944,0.131979998130547,-0.4
12,0.4150914995461501,12.413123334378755,0.1353516022930679,-0.4
13,0.42214317764728376,12.383059473585233,0.13880933855734467,-0.4
14,0.4293091673257349,12.354166740707255,0.14235540728219628,-0.4
15,0.43658303558036066,12.326421333551618,0.14599206503752715,-0.4
16,0.4439536454290037,12.299875761591956,0.1497216260403138,-0.4
17,0.4514421397636935,12.27436129839342,0.15354646362727595,-0.4
18,0.4590324590031157,12.249907306399136,0.15746901176516884,-0.4
19,0.4667207534087709,12.226536123516029,0.16149176659965767,-0.4
20,0.47453019960699167,12.204050565749675,0.16561728804376075,-0.4
21,0.48243398546595273,12.182591005547504,0.16984820140687068,-0.4
22,0.4904388667767684,12.162048467084018,0.17418719906539196,-0.4
23,0.49855342602052555,12.142392622715043,0.17863704217605644,-0.4
24,0.506776691844188,12.123547228051509,0.18320056243300817,-0.4
25,0.5150858388048295,12.105617746897495,0.18788066386977528,-0.4
26,0.5235025137583716,12.088439412875179,0.19268032470727536,-0.4
27,0.5320276462032546,12.072019075352056,0.19760259924903076,-0.4
28,0.540643452938014,12.056330367815526,0.20265061982479984,-0.4
29,0.5493406704424113,12.041465324657976,0.20782759878386067,-0.4
30,0.558159922322237,12.027104525483656,0.2131368305392156,-0.4
31,0.5670527334840315,12.013568436106452,0.21858169366401808,-0.4
32,0.5760541028755807,12.000493664407044,0.22416565304155567,-0.4
33,0.585113886619543,11.988214868322876,0.22989226207015656,-0.4
34,0.5942881902372713,11.9763585783244,0.23576516492442376,-0.4
35,0.6035581298094541,11.965014364146208,0.24178809887423583,-0.4
36,0.6128812905528244,11.954376022384611,0.2479648966629888,-0.4
37,0.6223542855690993,11.94398592297654,0.25429948894659393,-0.4
38,0.6319019784130683,11.934233264328459,0.2607959067947831,-0.4
39,0.6415858867327132,11.924796173659209,0.26745828425631285,-0.4
40,0.6513930145611168,11.915686561674468,0.27429086098970007,-0.4
41,0.6612487946817591,11.907220550847088,0.28129798496116387,-0.4
42,0.6712537624197802,11.898935704415615,0.28848411521148914,-0.4
43,0.681368828777988,11.890992409962504,0.29585382469357374,-0.4
44,0.6915508812950856,11.883568189316607,0.30341180318246486,-0.4
45,0.7018787969997456,11.876274833530644,0.3111628602597356,-0.4
46,0.7122942026182304,11.869322904409408,0.3191119283741016,-0.4
47,0.7227598474942035,11.862852297463988,0.32726406598022545,-0.4
48,0.733371413687267,11.85648082936732,0.3356244607577053,-0.4
49,0.7440961845010728,11.850316649390413,0.34419843291229796,-0.4
50,0.7548710695813624,11.844563133381806,0.35299143856147486,-0.4
51,0.765739059252032,11.83900720253936,0.3620090732064675,-0.4
52,0.7767324684982995,11.833542302465572,0.37125707529301055,-0.4
53,0.7877764676483027,11.828391089480123,0.3807413298630484,-0.4
54,0.798875144110566,11.823521747872425,0.39046787229973046,-0.4
55,0.8101152537465981,11.818653931039348,0.40044289216807616,-0.4
56,0.8214565809597203,11.813889746419568,0.4106727371537557,-0.4
57,0.8327950165174619,11.809473354538028,0.421163917102492,-0.4
58,0.8442020263669171,11.805190569364294,0.43192310816265367,-0.4
59,0.8557354208226235,11.8008691033815,0.442957157033678,-0.4
60,0.8673313985097627,11.796661586586728,0.454273085323023,-0.4
61,0.878928239021589,11.792702363245729,0.46587809401442554,-0.4
62,0.8905917507311789,11.788805989795442,0.47777956805030647,-0.4
63,0.9023851641018573,11.784822146870724,0.4899850810312389,-0.4
64,0.9142525801749145,11.780880105798344,0.5025024000354713,-0.4
65,0.9261306272795088,11.77711933193832,0.5153394905615711,-0.4
66,0.938066279232875,11.7734235988145,0.5285045215973354,-0.4
67,0.9501174001408713,11.769653099333103,0.5420058708181932,-0.4
68,0.9622873060646282,11.765791498435735,0.5558521299184075,-0.4
69,0.974498202977208,11.761985280810666,0.570052110078471,-0.4
70,0.9867155825059729,11.7582911548061,0.5846148475721726,-0.4
71,0.999018716065,11.754540349967284,0.5995496095169041,-0.4
72,1.0114208502304336,11.750679298414802,0.614865899770867,-0.4
73,1.023908440937699,11.746722960410544,0.63057346498093,-0.4
74,1.0364076295454236,11.74279783842517,0.6466823007849886,-0.4
75,1.0488961902693228,11.738924056621409,0.6632026581727689,-0.4
76,1.0614477861661407,11.73495887433004,0.6801450500091321,-0.4
77,1.074074261617252,11.73087172736144,0.6975202577240198,-0.4
78,1.0867892685530167,11.7266341392084,0.7153393381733064,-0.4
79,1.099529659026054,11.722332769043819,0.7336136306749201,-0.4
80,1.1122376730554444,11.718039799812209,0.75235476422471,-0.4
81,1.1249751330467026,11.713648056666525,0.7715746648966536,-0.4
82,1.1377356831701335,11.709141607042625,0.791285563432112,-0.4
83,1.1505368892978887,11.70448735731756,0.8115000030229613,-0.4
84,1.1633936751803575,11.69965807329184,0.8322308472935572,-0.4
85,1.176244629673518,11.6947240141091,0.8534912884866063,-0.4
86,1.189037993771088,11.689736225237011,0.8752948558581587,-0.4
87,1.20181993107004,11.684618572568452,0.8976554242870608,-0.4
88,1.2146072529359295,11.67934363325516,0.920587223104348,-0.4
89,1.2273950540796743,11.673903319136167,0.9441048451481971,-0.4
90,1.2402042761605319,11.66826532193802,0.9682232560501975,-0.4
91,1.2530498161286496,11.662419304225596,0.9929578037588536,-0.4
92,1.265883295784121,11.656416610789256,1.0183242283063778,-0.4
93,1.2786648387705213,11.650287735082708,1.04433867182499,-0.4
94,1.2914304290579277,11.643979115318544,1.0710176888190936,-0.4
95,1.30419944196288,11.637467641520852,1.0983782566998723,-0.4
96,1.3169693310475103,11.630749009385296,1.1264377865890045,-0.4
97,1.3297398379209795,11.623818332076526,1.155214134398372,-0.4
98,1.3425318976563523,11.616650569292144,1.1847256121928167,-0.4
99,1.3553110899651997,11.609272393488363,1.2149909998431732,-0.4
100,1.368032638082437,11.601698561694016,1.246029556976995,-0.4
101,1.3806869714857883,11.593986768956826,1.2778610352345725,-0.4
102,1.3933093958551457,11.586041685094004,1.3105056908380557,-0.4
103,1.4059013483269172,11.577873715899166,1.3439842974816651,-0.4
104,1.4184576836301523,11.569482925508332,1.3783181595512013,-0.4
105,1.4309698505640067,11.560867273310912,1.4135291256812677,-0.4
106,1.4434385864153625,11.55202371993033,1.4496396026588263,-0.4
107,1.455885182397962,11.542928913924491,1.486672569681944,-0.4
108,1.4682777816845483,11.533600331356288,1.5246515929827864,-0.4
109,1.4805641916468215,11.524064911066151,1.563600840824191,-0.4
110,1.4927325278549832,11.51433396607431,1.6035450988793352,-0.4
111,1.5048210324455396,11.504365353353224,1.6445097860043012,-0.4
112,1.5168262757605107,11.4941575331477,1.6865209704135775,-0.4
113,1.528738701724884,11.483715548919628,1.729605386268779,-0.4
114,1.54054908770036,11.473030485895128,1.7737904506911473,-0.4
115,1.5522535943195754,11.46210878389484,1.8191042812086653,-0.4
116,1.5638455386422896,11.450947063528073,1.8655757136488744,-0.4
117,1.5753422253916944,11.439527655224568,1.9132343204887892,-0.4
118,1.5867613402162823,11.427825470309,1.9621104296735847,-0.4
119,1.598083056323304,11.415852386859495,2.012235143916037,-0.4
120,1.6092723276599374,11.403615303241699,2.0636403604889857,-0.4
121,1.6203191708012807,11.391119361177797,2.116358791523425,-0.4
122,1.6312519157459,11.378341922976025,2.170423984825139,-0.4
123,1.6420672099909515,11.36528349704628,2.225870345223124,-0.4
124,1.6527588542771312,11.351942886635007,2.282733156463375,-0.4
125,1.6633227609475645,11.338321281686788,2.341048603661997,-0.4
126,1.6737554516107143,11.324418356633936,2.400853796331897,-0.4
127,1.6840542145496724,11.310234667423053,2.4621867919977247,-0.4
128,1.694220177599035,11.295769250772617,2.525086620414088,-0.4
129,1.7042463444532427,11.281021143899268,2.5895933084024647,-0.4
130,1.7141427475799915,11.265986831317305,2.6557479053225967,-0.4
131,1.723920800966178,11.250659278688103,2.7235925091945767,-0.4
132,1.7335613497975555,11.235050211659283,2.7931702934882834,-0.4
133,1.7430397390467622,11.21917332590324,2.864525534597163,-0.4
